topic_id,name,parent_id,country,school_type,grade,curriculum_text,embedding,metadata
stochastics_combinatorics_permutations,Permutations,stochastics_combinatorics,Germany,Gymnasium,Grade 12,"Arrangements of objects where order matters, with and without repetition",,
stochastics_combinatorics_combinations,Combinations,stochastics_combinatorics,Germany,Gymnasium,Grade 12,"Selections of objects where order doesn't matter, binomial coefficients",,
stochastics_combinatorics_counting,Counting Principles,stochastics_combinatorics,Germany,Gymnasium,Grade 12,"Fundamental counting principle, addition and multiplication rules",,
stochastics_probability,Probability Theory,stochastics_topic,Germany,Gymnasium,Grade 12,"Basic probability concepts, conditional probability, and independence",,
stochastics_probability_basic,Basic Probability,stochastics_probability,Germany,Gymnasium,Grade 12,"Sample spaces, events, and probability calculations for simple experiments",,
stochastics_probability_conditional,Conditional Probability,stochastics_probability,Germany,Gymnasium,Grade 12,"Probability of events given additional information, Bayes' theorem",,
stochastics_probability_independence,Independence,stochastics_probability,Germany,Gymnasium,Grade 12,"Independent events, multiplication rule for independent events",,
stochastics_distributions,Probability Distributions,stochastics_topic,Germany,Gymnasium,Grade 12,"Random variables and their probability distributions",,
stochastics_distributions_discrete,Discrete Distributions,stochastics_distributions,Germany,Gymnasium,Grade 12,"Binomial, geometric, and Poisson distributions for discrete random variables",,
stochastics_distributions_continuous,Continuous Distributions,stochastics_distributions,Germany,Gymnasium,Grade 12,"Normal distribution, uniform distribution, and continuous random variables",,
stochastics_distributions_expected,Expected Value and Variance,stochastics_distributions,Germany,Gymnasium,Grade 12,"Measures of central tendency and spread for probability distributions",,
stochastics_statistics,Statistical Analysis,stochastics_topic,Germany,Gymnasium,Grade 12,"Descriptive statistics, hypothesis testing, and confidence intervals",,
stochastics_statistics_descriptive,Descriptive Statistics,stochastics_statistics,Germany,Gymnasium,Grade 12,"Mean, median, mode, standard deviation, and data visualization",,
stochastics_statistics_inference,Statistical Inference,stochastics_statistics,Germany,Gymnasium,Grade 12,"Hypothesis testing, confidence intervals, and drawing conclusions from data",,
stochastics_statistics_regression,Regression Analysis,stochastics_statistics,Germany,Gymnasium,Grade 12,"Linear regression, correlation, and modeling relationships between variables",, 
